level,metric_name,dataset,split,label,mean,None
image-level,MSE,mvtec_bottle,val,0,2.8968214177439223e-05,0
image-level,MSE,mvtec_capsule,test,1,3.2754369090980616e-05,0
image-level,MSE,mvtec_carpet,train,0,0.00010188787683728152,0
image-level,MSE,mvtec_carpet,val,0,0.00010429927388031502,0
image-level,MSE,mvtec_bottle,test,1,0.00011235583918460179,0
image-level,MSE,mvtec_cable,test,0,0.00011981140737771057,0
image-level,MSE,mvtec_cable,train,0,0.00012308530072914438,0
image-level,MSE,mvtec_cable,val,0,0.00012402817474503535,0
image-level,MSE,mvtec_carpet,test,0,0.00014475583466992247,0
image-level,MSE,mvtec_cable,test,1,0.00015131685786764137,0
image-level,MSE,mvtec_carpet,test,1,0.0001542355299461633,0
image-level,MSE,mvtec_bottle+cable,test,0,0.0005348164184833877,0
image-level,MSE,mvtec_bottle+cable,test,1,0.0006198079219902865,0
image-level,MSE,mvtec_bottle+cable,train,0,0.0006788399820216,0
image-level,MSE,mvtec_bottle+cable,val,0,0.0006846813285956159,0
image-level,MSE,mvtec_bottle+cable+capsule,test,0,0.0009307403367711231,0
image-level,MSE,mvtec_bottle+cable+capsule,test,1,0.0010163698014803231,0
image-level,MSE,mvtec_bottle+cable+capsule,val,0,0.001076340703992173,0
image-level,MSE,mvtec_bottle+cable+capsule,train,0,0.0010815535211004318,0
image-level,MSE,mvtec_bottle+cable+capsule+carpet,test,0,0.0015733811210375279,0
image-level,MSE,mvtec_bottle+cable+capsule+carpet,test,1,0.0016168777320999651,0
image-level,MSE,mvtec_bottle+cable+capsule+carpet,val,0,0.0017489037392660976,0
image-level,MSE,mvtec_bottle+cable+capsule+carpet,train,0,0.0017529642519075424,0
patch-level,MSE,mvtec_carpet,train,0,0.0028471044315956534,0
patch-level,MSE,mvtec_carpet,val,0,0.002851054639555514,0
patch-level,MSE,mvtec_carpet,test,0,0.002958638049196452,0
patch-level,MSE,mvtec_carpet,test,1,0.0032413994246162474,0
patch-level,MSE,mvtec_capsule,test,1,0.006187541351653635,0
patch-level,MSE,mvtec_capsule,test,0,0.006215502816252411,0
patch-level,MSE,mvtec_capsule,train,0,0.006221453155390918,0
patch-level,MSE,mvtec_capsule,val,0,0.0062339908592402935,0
patch-level,MSE,mvtec_bottle+cable+capsule+carpet,test,1,0.009014305228367448,0
patch-level,MSE,mvtec_bottle+cable+capsule+carpet,train,0,0.009078306127339602,0
patch-level,MSE,mvtec_bottle+cable+capsule+carpet,val,0,0.00910398872382939,0
patch-level,MSE,mvtec_bottle+cable+capsule,test,1,0.009381187019869685,0
patch-level,MSE,mvtec_bottle+cable+capsule+carpet,test,0,0.00967338079586625,0
patch-level,MSE,mvtec_bottle,train,0,0.009709279917180538,0
patch-level,MSE,mvtec_bottle,test,0,0.009713163869455456,0
patch-level,MSE,mvtec_bottle,val,0,0.009715224590152501,0
patch-level,MSE,mvtec_bottle+cable+capsule,train,0,0.009752744190394878,0
patch-level,MSE,mvtec_bottle+cable+capsule,val,0,0.009765828913077711,0
patch-level,MSE,mvtec_bottle,test,1,0.009770289802923798,0
patch-level,MSE,mvtec_cable,train,0,0.010013933526352048,0
patch-level,MSE,mvtec_cable,test,1,0.010018997119739652,0
patch-level,MSE,mvtec_cable,test,0,0.01002939237654209,0
patch-level,MSE,mvtec_cable,val,0,0.010043329460546374,0
patch-level,MSE,mvtec_bottle+cable+capsule,test,0,0.010064366491511463,0
patch-level,MSE,mvtec_bottle+cable,test,0,0.010507621215656399,0
patch-level,MSE,mvtec_bottle+cable,test,1,0.01053901187516749,0
patch-level,MSE,mvtec_bottle+cable,train,0,0.010634882004931569,0
patch-level,MSE,mvtec_bottle+cable,val,0,0.010666681637987495,0
