level,metric_name,dataset,split,label,mean,None
patch-level,CORAL,mvtec_capsule+pill+bottle,test,1,8.143718806650213e-07,0
patch-level,CORAL,mvtec_capsule+pill,train,0,8.238374032885077e-07,0
patch-level,CORAL,lg_PCBNG_0.01_M,val,0,8.246858466236518e-07,0
patch-level,CORAL,lg_PCBNG_0.01,train,0,9.085362636369609e-07,0
patch-level,CORAL,mvtec_capsule_0.02+pill_0.02,train,0,1.0717909340201003e-06,0
patch-level,CORAL,mvtec_capsule+pill+bottle,test,0,1.1286411945548026e-06,0
patch-level,CORAL,mvtec_capsule+pill+bottle,train,0,1.2373898053965605e-06,0
patch-level,CORAL,mvtec_capsule+pill+bottle,val,0,1.238125526811018e-06,0
patch-level,CORAL,lg_PCBNG_0.1,val,0,1.3410281186452266e-06,0
patch-level,CORAL,lg_PCBNG_0.01,val,0,1.3444935208326569e-06,0
patch-level,CORAL,lg_PCBNG,val,0,1.3694756875111126e-06,0
patch-level,CORAL,lg_PCBNG_0.01_M,train,0,1.4706724741699873e-06,0
patch-level,DBI,lg_PCBNG_0.01,test,0,0.3948121295828774,0
patch-level,DBI,lg_PCBNG_0.01_M,test,0,0.39958219869233763,0
patch-level,DBI,lg_PCBNG_0.1,test,0,0.4068529801845669,0
patch-level,DBI,lg_PCBNG,test,0,0.4085312275237441,0
patch-level,DBI,lg_PCBNG,train,0,0.4220976572278977,0
patch-level,DBI,lg_PCBNG_0.1,train,0,0.4606180406022231,0
image-level,DBI,mvtec_capsule_0.02,test,1,0.4685836008427439,0
image-level,DBI,mvtec_capsule,test,1,0.4688177513918723,0
patch-level,DBI,lg_PCBNG,test,1,0.49286862345364923,0
patch-level,DBI,lg_PCBNG_0.01,test,1,0.5031107330660356,0
image-level,DBI,mvtec_capsule,train,0,0.512923616203209,0
patch-level,DBI,lg_PCBNG_0.1,test,1,0.5139651215717457,0
patch-level,DBI,lg_PCBNG_0.01_M,test,1,0.5340940412628864,0
patch-level,DBI,lg_PCBNG_0.1,val,1,0.6043099751241202,0
patch-level,DBI,lg_PCBNG,val,1,0.6103184788072338,0
patch-level,DBI,lg_PCBNG_0.01,val,1,0.6147337883989263,0
patch-level,DBI,mvtec_capsule_0.02,test,1,0.6260631530613137,0
patch-level,DBI,mvtec_capsule,test,1,0.6320626014376779,0
patch-level,DBI,mvtec_capsule,train,0,0.6458956278869462,0
image-level,DBI,mvtec_capsule,test,0,0.6546607329114803,0
image-level,DBI,lg_PCBNG_0.01,test,0,0.6558831479954781,0
image-level,DBI,lg_PCBNG_0.1,test,0,0.6722445104170629,0
image-level,DBI,lg_PCBNG,test,0,0.6964070884175168,0
image-level,DBI,lg_PCBNG_0.01_M,test,0,0.7147746811511345,0
image-level,DBI,mvtec_capsule_0.02,test,0,0.71661694565608,0
patch-level,DBI,mvtec_capsule,test,0,0.7273114372875347,0
image-level,DBI,mvtec_capsule_0.02,val,1,0.7336082734976057,0
patch-level,DBI,mvtec_capsule+pill+bottle,val,1,0.7387980755528163,0
image-level,DBI,lg_PCBNG,train,0,0.7577877465644525,0
image-level,DBI,lg_PCBNG_0.1,train,0,0.7809544639939286,0
patch-level,DBI,mvtec_capsule+pill+bottle,test,1,0.7914228678244356,0
patch-level,DBI,mvtec_capsule+pill+bottle,test,0,0.8178561206530631,0
patch-level,DBI,mvtec_capsule+pill+bottle,train,0,0.8522184200059394,0
patch-level,DBI,mvtec_capsule_0.02,test,0,0.8639625247216699,0
patch-level,DBI,mvtec_capsule+pill+bottle,val,0,0.8738539057519541,0
image-level,DBI,lg_PCBNG_0.01_M,test,1,0.8806162307959091,0
image-level,DBI,lg_PCBNG_0.1,test,1,0.9004923716411442,0
patch-level,DBI,mvtec_capsule_0.02+pill_0.02,test,1,0.904443530729476,0
image-level,DBI,lg_PCBNG_0.01,test,1,0.9123954193889376,0
patch-level,DBI,lg_PCBNG_0.01_M,train,0,0.9174961358006872,0
patch-level,DBI,mvtec_capsule+pill,train,0,0.9215426167747346,0
patch-level,DBI,mvtec_capsule+pill,test,1,0.945333941250535,0
patch-level,DBI,mvtec_capsule+pill,val,1,0.9545205135506653,0
patch-level,DBI,mvtec_capsule+pill,test,0,0.9548315305806655,0
image-level,DBI,mvtec_capsule,val,1,0.9596991272068953,0
image-level,DBI,lg_PCBNG,test,1,0.9616558385741382,0
patch-level,DBI,lg_PCBNG_0.01_M,val,0,0.9719557808596779,0
patch-level,DBI,mvtec_capsule_0.02+pill_0.02,val,1,0.9752210133770873,0
patch-level,DBI,mvtec_capsule_0.02+pill_0.02,test,0,1.0026288186067802,0
patch-level,DBI,lg_PCBNG_0.01,val,0,1.037160826666667,0
image-level,DBI,mvtec_capsule+pill,train,0,1.0457989646990316,0
patch-level,DBI,mvtec_capsule_0.02+pill_0.02,train,0,1.0501266679127697,0
patch-level,DBI,lg_PCBNG_0.1,val,0,1.0554299652393526,0
patch-level,DBI,lg_PCBNG_0.01_M,val,1,1.0717377001317805,0
image-level,DBI,lg_PCBNG_0.01,val,1,1.0929709335317757,0
image-level,DBI,lg_PCBNG,val,1,1.096354035397658,0
patch-level,DBI,lg_PCBNG_0.01,train,0,1.1005675123323209,0
image-level,DBI,lg_PCBNG_0.1,val,1,1.1033942565062393,0
patch-level,DBI,mvtec_capsule_0.02,val,1,1.1216432846788966,0
patch-level,DBI,mvtec_capsule+pill,val,0,1.125696722814706,0
patch-level,DBI,mvtec_capsule,val,1,1.1270518987891347,0
image-level,DBI,mvtec_capsule_0.02+pill_0.02,test,0,1.1644246571706998,0
patch-level,DBI,mvtec_capsule_0.02+pill_0.02,val,0,1.1645808380466716,0
image-level,DBI,mvtec_capsule+pill,test,0,1.1781950928288478,0
patch-level,DBI,lg_PCBNG,val,0,1.1857848996451563,0
image-level,DBI,mvtec_capsule+pill,val,1,1.4904106505583121,0
image-level,DBI,mvtec_capsule_0.02+pill_0.02,val,1,1.6951568069769447,0
image-level,DBI,lg_PCBNG_0.01,train,0,1.9803855487920916,0
image-level,DBI,mvtec_capsule_0.02+pill_0.02,test,1,2.0129496699312295,0
patch-level,DBI,mvtec_capsule,val,0,2.0247766001384813,0
image-level,DBI,mvtec_capsule_0.02,val,0,2.0458979084609097,0
image-level,DBI,mvtec_capsule,val,0,2.0458979084609097,0
image-level,DBI,mvtec_capsule+pill,test,1,2.0860024857309694,0
image-level,DBI,mvtec_capsule_0.02+pill_0.02,val,0,2.1312352427826338,0
image-level,DBI,mvtec_capsule+pill,val,0,2.2108649030491283,0
patch-level,DBI,mvtec_capsule_0.02,val,0,2.2909292961492826,0
image-level,DBI,mvtec_capsule+pill+bottle,val,1,2.544121830925661,0
image-level,DBI,mvtec_capsule_0.02+pill_0.02,train,0,2.7319467319050736,0
patch-level,DBI,mvtec_capsule_0.02,train,0,2.844337545309452,0
image-level,DBI,mvtec_capsule+pill+bottle,test,1,2.8669596007495195,0
image-level,DBI,mvtec_capsule_0.02,train,0,2.9194916837694906,0
image-level,DBI,lg_PCBNG_0.01_M,train,0,2.9482523035543977,0
image-level,DBI,lg_PCBNG_0.01_M,val,0,3.3450094332422617,0
image-level,DBI,lg_PCBNG_0.01,val,0,3.8547797332082454,0
image-level,DBI,lg_PCBNG_0.1,val,0,3.8547797332082454,0
image-level,DBI,lg_PCBNG,val,0,3.8547797332082454,0
image-level,DBI,mvtec_capsule+pill+bottle,train,0,4.019111628501163,0
image-level,DBI,mvtec_capsule+pill+bottle,test,0,4.063864972040916,0
image-level,DBI,lg_PCBNG_0.01_M,val,1,4.444394351068334,0
image-level,DBI,mvtec_capsule+pill+bottle,val,0,5.100486305333561,0
patch-level,MMD,mvtec_capsule_0.02,train,0,0.17736975740235011,0
patch-level,MMD,mvtec_capsule,val,0,0.18739767298827525,0
